T1,T2,S1,S2,DIC1,DIC2,TA1,TA2,time,pH_surface,pCO2_surface,J_air,dDIC1_recalc,dDIC2_recalc,pH_deep,pCO2_deep
15.0,10.0,35.0,34.0,2000.0,2100.0,2300.0,2400.0,0,8.198936123170089,262.8185483016441,0.03215029033967118,0.0042270058067934236,-0.0008128,8.271807135041115,224.5610650559686
2.0269202695832265,10.875639424802912,35.842536390740314,34.0,2000.035831207867,2099.991874198036,2300.039670097649,2399.9901624755853,10,8.396562814478113,151.80230974502334,0.054353538050995326,0.0046693124806266645,-0.0008123604299016897,8.257865113063877,233.32621253996325
1.1169333201161435,11.742435296505846,35.62584052579736,34.0,2000.0716448373237,2099.9837527906698,2300.079320397201,2399.9803299007,20,8.414496613311067,144.6534124327159,0.05578331751345682,0.00469615066840298,-0.0008119210795334609,8.244119519919687,242.28954022682905
0.6173268573620735,12.557725153034399,35.39064494849428,34.0,2000.1074408971583,2099.9756357757087,2300.11895090855,2399.9705022728604,30,8.425892500632028,140.3862971163151,0.056636740576736976,0.004711462606676755,-0.0008114819487855042,8.231239840750408,250.98794790406376
0.5428691419042335,13.297409200152718,35.14390198991192,34.0,2000.143219396153,2099.96752315096,2300.1585616415887,2399.9606795896,40,8.430350489594916,138.91563704677026,0.05693087259064595,0.004715589602005201,-0.0008110430375480703,8.21959469485566,259.1102235942204
0.8957611277951285,13.939622535181767,34.8929053192942,34.0,2000.1789803430872,2099.9594149142245,2300.1981526062045,2399.950861848447,50,8.427724749517544,140.20608221692058,0.05667278355661588,0.004708673053977806,-0.0008106043457113722,8.20951425859812,266.3443607102921
1.665571403280514,14.465381469293966,34.6450743445534,34.0,2000.2147237467336,2099.9513110633134,2300.2377238122763,2399.9410490469277,60,8.418129863774071,144.27713208252766,0.05585857358349447,0.004690634964333079,-0.0008101658731657975,8.201282085777507,272.3953894121786
2.8295445412870386,14.859144680678732,34.407734896351954,34.0,2000.2504496158629,2099.943211596031,2300.2772752696833,2399.931241182576,70,8.401930407594513,151.1995889759572,0.054474082204808566,0.004661192123302888,-0.0008097276198016793,8.195128258119007,277.0044225707678
4.353273744067158,15.109272612723103,34.187902678185175,34.0,2000.2861579592382,2099.935116510188,2300.316806988296,2399.921438252925,80,8.379715856171053,161.0834354522375,0.0524973129095525,0.004619904600229043,-0.0008092895855094983,8.19122392920799,279.9669356069244
6.191717901453415,15.208371537201788,33.99207588349493,34.0,2000.321848785622,2099.9270258035913,2300.356318977981,2399.9116402555032,90,8.352264727934065,174.0564756554002,0.04990270486891996,0.004566261178097169,-0.0008088517701796926,8.18967731690515,281.14815400094966
8.290532996921934,15.153512111126284,33.82604311047922,34.0,2000.35752210377,2099.918939474055,2300.3958112486043,2399.9018471878485,100,8.320502784752657,190.23292626217625,0.04666741474756475,0.004499804989762703,-0.000808414173702852,8.190531189291645,280.4936214951929
10.587678504792299,14.946315967373032,33.69471225243696,34.0,2000.393177922434,2099.9108575193873,2300.4352838100176,2399.8920590474954,110,8.285459951569159,209.67160728646743,0.04277967854270651,0.0044203007547322605,-0.0008079767959695327,8.193761875022055,278.03356301891677
13.015251294332575,14.592907779650556,33.60196542151128,34.0,2000.4288162503617,2099.902779937408,2300.4747366720744,2399.882275831983,120,8.248229584402678,232.3247035152688,0.03824905929694624,0.004327939733420777,-0.0008075396368704631,8.19927981088199,273.8804565792824
15.50149283128936,14.103734218681044,33.55054419425058,34.0,2000.4644370962958,2099.894706725926,2300.5141698446246,2399.8724975388436,130,8.20993220951153,257.98037044138687,0.03311792591172263,0.004223569303419659,-0.0008071026962963017,8.20693161942266,268.2201410580943
17.97291034701008,13.493255150475417,33.5419685711263,34.0,2000.5000404689752,2099.8866378827543,2300.5535833375106,2399.8627241656254,140,8.171684335141235,286.2056282718573,0.027472874345628544,0.004108921383463735,-0.0008066659741377912,8.21650369066406,261.29763656259655
20.356449267841462,12.779516205839297,33.576492045725026,34.0,2000.5356263771362,2099.878573405717,2300.5929771605647,2399.852955709862,150,8.13457177895752,316.2994982140518,0.021454100357189636,0.003986799888287023,-0.0008062294702858075,8.227727226421875,253.3994814053679
22.58165269249368,11.98361535543478,33.65309411153397,34.0,2000.5711948295066,2099.8705132926243,2300.632351323624,2399.8431921690963,160,8.099626367090579,347.2691409470157,0.015260171810596853,0.003861176174736646,-0.0008057931846311774,8.240284694769407,244.83469125358093
24.58274408202042,11.129079258736567,33.769510427822745,34.0,2000.606745834814,2099.862457541297,2300.6717058365134,2399.833433540873,170,8.0678048535715,377.8423860196449,0.009145522796071021,0.003737138924180731,-0.0008053571170648277,8.253817633750057,235.91639553284168
26.300571606989326,10.241167819291249,33.92229975402962,34.0,2000.6422794017785,2099.8544061495577,2300.7110407090586,2399.823679822735,180,8.039969319211272,406.52703047907346,0.0034085939041853066,0.003620656947994873,-0.0008049212674777919,8.267935733233134,226.9458538165938
27.684356647976863,9.346127509683917,34.10694567024882,34.0,2000.6777955391171,2099.8463591152235,2300.7503559510756,2399.8139310122306,190,8.016868885641287,431.71992369278314,-0.0016299847385566296,0.0035181428482731238,-0.0008044856357610641,8.282227104485937,218.20000515271877
28.693194807493402,8.470415533403155,34.31799008038985,34.0,2000.7132942555418,2099.8383164361153,2300.7896515723787,2399.804187106905,200,7.9991230823853545,451.8579386373545,-0.005657587727470901,0.003435849132673523,-0.0008040502218057354,8.296269611231423,209.92308138567472
