T1,T2,S1,S2,DIC1,DIC2,TA1,TA2,time,pCO2_surf,pH_surf,Omega_calc_surf,pH_deep,Omega_calc_deep,PICPOC_dynamic,f_diss_dynamic,PIC_burial,POC_burial,J_air,J_air_mmol_m2_day
8.0,2.0,35.0,35.0,2160.0,2160.0,2330.0,2305.0,0.0,,,,,,,,,,,
5.7947424943235575,1.6653948256507505,35.094319293661016,34.99145603509027,2162.821085312429,2160.033970356025,2329.6200455010944,2305.0544567541606,0.1,403.9034061920049,8.044230493817693,3.0057818656271835,8.075746341555591,2.5231372802784753,0.06152768912503744,0.1,0.01888370753135911,0.0034101552578101844,30.572767824759048,2.56263184752859
6.139246131277279,1.7273121603457389,35.14611006721227,34.99603800550567,2169.0202654989716,2160.229606198024,2329.119055376289,2305.1097838227774,0.2,374.9290421352386,8.070370781547153,2.939167098545838,8.08130663557083,2.521269833073761,0.06038572168935723,0.1,0.1034626560021286,0.019037365697211317,75.69205223058097,6.289727083581101
7.159887392099917,2.102892066796425,35.15048436809912,35.00471681607489,2169.919542696745,2160.6648467076593,2328.3991560087393,2305.1659795752144,0.30000000000000004,397.3699332527147,8.048195519303855,2.8465024462843003,8.079924441653148,2.5203917217511367,0.05879718479344515,0.1,0.22129492267647205,0.041818881002907156,42.069451457370604,3.2491891131240926
8.692358893421373,2.6008026696889552,35.11471040047404,35.00877278624934,2159.705327727572,2162.048439062005,2326.9325114693465,2305.2317973609556,0.4,419.5919525894202,8.028185599911115,2.831781521368778,8.07275898219972,2.517780157529704,0.058544826080607626,0.1,0.7215620142347394,0.13694388130354357,0.42047989036742267,0.03323518001763253
10.137842914332571,2.996046906126535,35.05778440331586,35.00264088424891,2150.9020552144334,2163.638607318774,2325.716379017575,2305.300122346472,0.5,423.6437133415604,8.025809717915745,2.9673357158965916,8.061093977337482,2.501402855212721,0.060868612272513,0.1,0.8774436467469593,0.16017079228117403,-3.5402312969088996,-0.3728996718907861
10.917106216510561,3.1108064042120622,35.00375599117878,34.98564969011561,2147.0457251171892,2164.23647484813,2325.118900475075,2305.3543456136767,0.6000000000000001,429.26401877741233,8.021902623740994,3.0888988117047935,8.050837896930298,2.484167026612223,0.06295255105779646,0.1,0.3564218818803793,0.06290838203472225,-8.105625835462263,-0.8874947717330621
10.724919165616717,2.880649037786279,34.97501870812669,34.962052522303914,2142.4694085879582,2164.550248712406,2324.551946858162,2305.40162747792,0.7000000000000001,434.3186615189839,8.018045728234883,3.1442612486592343,8.047954200661204,2.4808078259732538,0.06390162140558688,0.1,0.20258666885445611,0.03522544401471066,-23.965919380459052,-2.026965437162973
9.660362463994693,2.379123040968006,34.983685488497144,34.93919907226463,2141.021893731528,2164.722105249545,2324.0231118800934,2305.445051751634,0.8,420.05258520725323,8.030579922505439,3.2002423262848536,8.051299171837416,2.477278888566674,0.06486129702202606,0.1,0.12808389238319431,0.021941503256248274,-0.16227055976448868,-0.011818845844262838
8.14564972166404,1.7872006104426985,35.026961782309854,34.92457212874089,2144.6989411643412,2164.6940342963962,2323.731556700317,2305.4852962073046,0.9,399.06695039582894,8.049189128060958,3.202401461525321,8.059220664368166,2.471548245252835,0.06489831076900551,0.1,0.013416182285202931,0.0022969579684191644,34.9706787496324,2.830784398959126
6.723158606131786,1.3224299026672668,35.08860273534886,34.92282787220745,2151.9864090565784,2164.650946946472,2323.477042017004,2305.5248089508514,1.0,383.15204999239234,8.063366070295553,3.1301224039883206,8.06907631469175,2.4680518460001144,0.06365924121122836,0.1,0.00012052500071635207,2.1036485027878876e-05,70.10188324541686,5.944938451250699
5.947890319121303,1.1559912626601547,35.145229729892144,34.93393738701407,2165.258462799084,2164.6341835537705,2323.2249336621253,2305.5639760657245,1.1,377.5904524818671,8.067534073150624,3.008850591776521,8.076808277001145,2.4656237927861,0.06158029585902608,0.1,0.005993878624674953,0.0010814928778150011,131.71775629744735,11.465956992111652
6.116950618398777,1.3467923474774934,35.175296650457845,34.95313760382255,2170.5335353855576,2164.725812257814,2322.9243080829224,2305.6035329240476,1.2000000000000002,397.71755123151473,8.046652926749264,2.8116147280133124,8.07950684932472,2.4647990226500878,0.05819910962308536,0.1,0.047479992019503446,0.009064665598837805,58.71282699824438,5.194784313437241
7.155327078768062,1.8182377338202385,35.16682056688758,34.97269409898671,2163.773906558831,2165.6739683872042,2321.868685565535,2305.651111271096,1.3,415.46554381733836,8.029878533460092,2.7349735537879156,8.076140019991424,2.4663525057272877,0.05688526092207856,0.1,0.48116754428616054,0.09398402962319855,6.223025775521304,0.47060753307948333
8.689642282663398,2.3879321950434456,35.12382399976492,34.98486010103612,2155.453271469866,2166.838227399086,2320.6863027516624,2305.699619475872,1.4000000000000001,418.7398871909789,8.027818729263068,2.821732645128959,8.065894310666286,2.4570540200340063,0.05837255963078216,0.1,0.6163554047346371,0.11732213610740809,1.9813719434987662,0.15852772297655923
10.135092805867966,2.8368393455100307,35.06286662337929,34.984780071451794,2147.224369364072,2168.253851210031,2319.6356173256795,2305.7507277026907,1.5,427.02246152957315,8.021683846087381,2.9349634640973927,8.053474313423544,2.443969187733264,0.06031365938452674,0.1,0.7854280615331554,0.14469323450996555,-6.153156398874464,-0.6418311958808758
10.914078282983583,2.991684799501291,35.00654002568037,34.972305356676095,2142.4971499947515,2168.895474488119,2319.0619476076645,2305.7907014030447,1.6,433.6471923289584,8.016985378317239,3.0505987168371793,8.042659362837698,2.429261973347509,0.06229597800292308,0.1,0.38782290454192986,0.06917209620815373,-13.72599409768033,-1.4721547436383906
