T1,T2,S1,S2,DIC1,DIC2,TA1,TA2,time,pH_surface,pCO2_surface,pH_deep,pCO2_deep
15.0,10.0,35.0,34.0,2000.0,2100.0,2300.0,2400.0,0,8.198936123170089,262.8185483016441,8.271807135041115,224.5610650559686
2.0269202695832265,10.875639424802912,35.842536390740314,34.0,1999.9727871614184,2099.9918710457177,2300.039670097649,2399.9901624755853,10,8.396672854797497,151.7553515059493,8.257865118460918,233.32620901137886
1.1169333201161435,11.742435296505846,35.62584052579736,34.0,1999.9455830426027,2099.983740183579,2300.079320397201,2399.9803299007,20,8.414716977358838,144.5638316127782,8.24411954147935,242.28952558615822
0.6173268573620735,12.557725153034399,35.39064494849428,34.0,1999.9183876389538,2099.975607414644,2300.11895090855,2399.9705022728604,30,8.426223354255177,140.2557940758632,8.231239889197811,250.98791381579971
0.5428691419042335,13.297409200152718,35.14390198991192,34.0,1999.8912009458793,2099.967472739978,2300.1585616415887,2399.9606795896,40,8.430791872369827,138.74337445574426,8.219594780881694,259.1101610936122
0.8957611277951285,13.939622535181767,34.8929053192942,34.0,1999.864022958783,2099.9593361606394,2300.1981526062045,2399.950861848447,50,8.42827656375178,139.98871318843518,8.209514392869567,266.34426041659225
1.665571403280514,14.465381469293966,34.6450743445534,34.0,1999.8368536730761,2099.951197677692,2300.2377238122763,2399.9410490469277,60,8.418791861686614,144.00875040400106,8.201282278950513,272.39524182268514
2.8295445412870386,14.859144680678732,34.407734896351954,34.0,1999.809693084166,2099.9430572921906,2300.2772752696833,2399.931241182576,70,8.40270217857203,150.87161179291053,8.195128520854952,277.00421841463884
4.353273744067158,15.109272612723103,34.187902678185175,34.0,1999.7825411874664,2099.934915005201,2300.316806988296,2399.921438252925,80,8.380596817082775,160.68444777013792,8.191224272190464,279.966666227347
6.191717901453415,15.208371537201788,33.99207588349493,34.0,1999.7553979783952,2099.92677081778,2300.356318977981,2399.9116402555032,90,8.353254119944168,173.5720862514315,8.18967775085649,281.14781172693125
8.290532996921934,15.153512111126284,33.82604311047922,34.0,1999.7282634523713,2099.9186247309854,2300.3958112486043,2399.9018471878485,100,8.321599679882079,189.6457058375078,8.190531724987364,280.4931999617334
10.587678504792299,14.946315967373032,33.69471225243696,34.0,1999.701137604814,2099.910476745877,2300.4352838100176,2399.8920590474954,110,8.28666327166644,208.96119966127412,8.193762523301688,278.03305739750357
13.015251294332575,14.592907779650556,33.60196542151128,34.0,1999.6740204311488,2099.9023268635115,2300.4747366720744,2399.882275831983,120,8.249538134485043,231.46821443051297,8.199280582655092,273.8798636894706
15.50149283128936,14.103734218681044,33.55054419425058,34.0,1999.6469119268013,2099.894175084946,2300.5141698446246,2399.8724975388436,130,8.211344726743551,256.95313856148226,8.206932525669181,268.21945934405545
17.97291034701008,13.493255150475417,33.5419685711263,34.0,1999.619812087198,2099.8860214112347,2300.5535833375106,2399.8627241656254,140,8.173199553822476,284.98246045411605,8.216504742428898,261.2968659336499
20.356449267841462,12.779516205839297,33.576492045725026,34.0,1999.5927209077693,2099.8778658434367,2300.5929771605647,2399.852955709862,150,8.136188510389315,314.8563987401628,8.227728434803858,253.39862295429748
22.58165269249368,11.98361535543478,33.65309411153397,34.0,1999.5656383839507,2099.8697083826023,2300.632351323624,2399.8431921690963,160,8.101343590806602,345.5854806447259,8.240286070905501,244.83374687829644
24.58274408202042,11.129079258736567,33.769510427822745,34.0,1999.5385645111767,2099.8615490297884,2300.6717058365134,2399.833433540873,170,8.069621813311112,375.90335043745733,8.253819188795868,235.91536749413416
26.300571606989326,10.241167819291249,33.92229975402962,34.0,1999.5114992848842,2099.8533877860514,2300.7110407090586,2399.823679822735,180,8.041885613889379,404.32607677533986,8.267937478341018,226.94474426660423
27.684356647976863,9.346127509683917,34.10694567024882,34.0,1999.484442700515,2099.8452246524416,2300.7503559510756,2399.8139310122306,190,8.01888454345411,429.26089306095446,8.282229050781979,218.19881566572943
28.693194807493402,8.470415533403155,34.31799008038985,34.0,1999.4573947535127,2099.8370596300138,2300.7896515723787,2399.804187106905,200,8.001238606047576,449.1564454251267,8.2962717697925,209.92181251608574
29.297265052656922,7.639917746803293,34.549194558287844,34.0,1999.4303554393193,2099.8288927198196,2300.8289275827738,2399.794448104308,210,7.98942386894619,462.6747938176066,8.30964545893958,202.32088736015518
29.47871119520104,6.879183488386506,34.793724748582534,34.0,1999.4033247533844,2099.82072392291,2300.8681839920637,2399.784714001987,220,7.983761037695357,468.85636163874824,8.321944716372935,195.56525705090561
29.232169726140885,6.210699899008963,35.04435239151546,34.0,1999.3763026911586,2099.8125532403365,2300.9074208100487,2399.774984797492,230,7.984407584295942,467.24634565973184,8.332791966266559,189.78806254332034
28.564928359251248,5.654227212228504,35.29366898694734,34.0,1999.349289248093,2099.8043806731503,2300.9466380465183,2399.7652604883747,240,7.9913538365904415,457.9566252913966,8.341850267915193,185.09002018209898
27.496710611402982,5.226214641419964,35.53430478808276,34.0,1999.3222844196448,2099.796206222401,2300.985835711262,2399.75554107219,250,8.004423219764766,441.6500761742155,8.348835311566951,181.54394306309877
26.05909276700611,4.939314146008026,35.759146654713305,34.0,1999.2952882012703,2099.788029889139,2301.025013814066,2399.7458265464884,260,8.023276593899066,419.4508710540099,8.353525974828674,179.19931085823356
24.294570497704,4.802006443434891,35.961548309486844,34.0,1999.2683005884264,2099.779851674414,2301.064172364705,2399.736116908829,270,8.047420347688016,392.79990381046736,8.355772817646189,178.08621981994204
