T1,T2,S1,S2,DIC1,DIC2,TA1,TA2,time,pCO2_surf,pH_surf,Omega_calc_surf,pH_deep,Omega_calc_deep,PICPOC_dynamic,f_diss_dynamic,PIC_burial,POC_burial,J_air,J_air_mmol_m2_day
6.800342017554686,1.2237659316913,35.09122125039364,34.91765550335743,2123.363481416674,2161.343604491233,2299.2870697760245,2305.02268859641,4.0,379.48869264047767,8.062947341324017,3.103257553674498,8.032556143264951,1.928310201818808,0.06319870092013426,0.1,8.816894327852085e-07,1.550118769933124e-07,23.151306377403557,12.002219560624573
6.011754019107291,1.070353851771239,35.14902397976613,34.92970088349036,2125.1587408137407,2161.3429364335675,2299.28795707836,2305.0225826200035,4.1000000000000005,362.13785329069054,8.079438281481684,3.0559783638764806,8.03849548689956,1.9093693338942723,0.062388200523596817,0.1,2.0709640872666145e-05,3.688311553726724e-06,17.894597474561312,12.329574614190829
6.173094191975146,1.2722096243712517,35.18036143475662,34.949503677917626,2127.3694754799762,2161.3439158615006,2299.2871183412367,2305.02249646449,4.2,354.21256061179474,8.087047727499895,3.0223751107715326,8.040694580012948,1.906096697985816,0.061812144756083424,0.1,0.0009227923563951211,0.00016587757057857368,22.200107426661614,15.600783085296346
7.22259253613562,1.752230697246087,35.17328213289142,34.96949971502698,2127.766227315073,2161.43751567123,2299.1490728003114,2305.0235522703915,4.3,361.93310002247944,8.078894817869042,2.9915522407648454,8.038585888199307,1.9228020003423016,0.061283752698825925,0.1,0.05216518981626706,0.009457861091327227,15.954551394427536,8.203657869757722
8.748162148030435,2.3270624378263984,35.130090033777456,34.98205103235653,2105.2731684570495,2161.6542976255864,2295.41137737515,2305.026129021136,4.4,380.1044571950475,8.061128386619526,2.992793671781223,8.033793543568224,1.9638654350354985,0.061305034373392395,0.1,0.1203857244745551,0.021819075292924796,99.00582720138965,4.691580962549515
10.148193275058675,2.7771429448572422,35.06700653243036,34.98236368044164,2107.463429689146,2161.7039836675112,2292.241196401394,2305.0266400230666,4.5,361.14063235854576,8.081212470274838,3.2714971744422314,8.024217188099003,1.9714164319975311,0.06608280870472397,0.1,0.030212365898782536,0.005079883270865273,279.32638156968585,3.856473761303823
10.95509721147896,2.930554391813242,35.009448663719205,34.97031813882698,2111.7051136049436,2161.7273157069512,2291.331969571303,2305.026742663415,4.6000000000000005,394.43595798121663,8.04837677692648,3.20791830571724,8.016924999345022,1.9761443902220626,0.06499288524086697,0.1,0.014227419125901279,0.002432303692109912,119.51285553291935,2.5850558773975387
10.812436546921068,2.7286980834335246,34.9786026833661,34.95051532459203,2108.524076157003,2161.74994009163,2290.9733586416146,2305.026813835545,4.7,420.205406718459,8.024891783544867,3.1436706997264596,8.014381132137958,1.9758345892002978,0.06389149770959646,0.1,0.013540980277864172,0.002354856934244552,-0.5680447861158193,-0.0292374743991571
9.770059756933858,2.2486753572925156,34.98601889242151,34.93051917535904,2110.207759278277,2161.752102083175,2290.9641896430494,2305.0266155377967,4.800000000000001,410.1747677670585,8.033975896639111,3.18333205695763,8.017298061133541,1.9684922697416676,0.06457140669070223,0.1,0.0017865956991812097,0.000307428076010834,18.204150872351608,2.0769411561575506
8.23538391872567,1.6738376802108206,35.028978949060004,34.917967502794994,2112.562625197437,2161.7512486630276,2290.9723033155447,2305.0263749860296,4.9,396.38407291841105,8.046222742201188,3.1488438825832463,8.024573128110955,1.9567039006878313,0.06398018084428422,0.1,1.7160748714303126e-05,2.980219549215507e-06,23.257328177839373,4.419644300576844
