T1_run1,T2_run1,S1_run1,S2_run1,DIC1_run1,DIC2_run1,TA1_run1,TA2_run1,time,pCO2_surface_run1,pH_surface_run1,J_air,pCO2_deep_run1,pH_deep_run1,T1_run2,T2_run2,S1_run2,S2_run2,DIC1_run2,DIC2_run2,TA1_run2,TA2_run2,pCO2_surface_run2,pH_surface_run2,pCO2_deep_run2,pH_deep_run2
15.0,10.0,35.0,34.0,2000.0,2100.0,2300.0,2400.0,0,262.8185483016441,8.198936123170089,0.03215029033967118,224.5610650559686,8.271807135041115,15.0,10.0,35.0,34.0,2000.0,2100.0,2300.0,2400.0,262.8185483016441,8.198936123170089,224.5610650559686,8.271807135041115
2.0269202695832265,10.875639424802912,35.842536390740314,34.0,2000.035831207867,2099.991874198036,2300.039670097649,2399.9901624755853,10,151.80230974502334,8.396562814478113,0.054353538050995326,233.32621253996325,8.257865113063877,2.0269202695832265,10.875639424802912,35.842536390740314,34.0,2000.0444799913546,2099.9918745934738,2300.039670097649,2399.9901624755853,151.8087532196338,8.396547717413766,233.32621298260185,8.257865112386853
1.1169333201161435,11.742435296505846,35.62584052579736,34.0,2000.0716448373237,2099.9837527906698,2300.079320397201,2399.9803299007,20,144.6534124327159,8.414496613311067,0.05578331751345682,242.28954022682905,8.244119519919687,1.1169333201161435,11.742435296505846,35.62584052579736,34.0,2000.0913016384698,2099.983754598941,2300.079320397201,2399.9803299007,144.66738713563404,8.414462247185265,242.28954232678214,8.244119516827324
0.6173268573620735,12.557725153034399,35.39064494849428,34.0,2000.1074408971583,2099.9756357757087,2300.11895090855,2399.9705022728604,30,140.3862971163151,8.425892500632028,0.056636740576736976,250.98794790406376,8.231239840750408,0.6173268573620735,12.557725153034399,35.39064494849428,34.0,2000.138329601459,2099.9756401095738,2300.11895090855,2399.9705022728604,140.4076342270198,8.42583843232554,250.98795311310448,8.231239833347143
0.5428691419042335,13.297409200152718,35.14390198991192,34.0,2000.143219396153,2099.96752315096,2300.1585616415887,2399.9606795896,40,138.91563704677026,8.430350489594916,0.05693087259064595,259.1102235942204,8.21959469485566,0.5428691419042335,13.297409200152718,35.14390198991192,34.0,2000.185450241784,2099.967531139744,2300.1585616415887,2399.9606795896,138.944529825875,8.430276506061373,259.11023349888666,8.219594681222848
0.8957611277951285,13.939622535181767,34.8929053192942,34.0,2000.1789803430872,2099.9594149142245,2300.1981526062045,2399.950861848447,50,140.20608221692058,8.427724749517544,0.05667278355661588,266.3443607102921,8.20951425859812,0.8957611277951285,13.939622535181767,34.8929053192942,34.0,2000.232552394955,2099.9594276925964,2300.1981526062045,2399.950861848447,140.24309795458677,8.427630856676897,266.3443769837175,8.209514236811547
1.665571403280514,14.465381469293966,34.6450743445534,34.0,2000.2147237467336,2099.9513110633134,2300.2377238122763,2399.9410490469277,60,144.27713208252766,8.418129863774071,0.05585857358349447,272.3953894121786,8.201282085777507,1.665571403280514,14.465381469293966,34.6450743445534,34.0,2000.2795252594794,2099.9513297601948,2300.2377238122763,2399.9410490469277,144.32322123901494,8.418016288690715,272.3954137491643,8.20128205392397
2.8295445412870386,14.859144680678732,34.407734896351954,34.0,2000.2504496158629,2099.943211596031,2300.2772752696833,2399.931241182576,70,151.1995889759572,8.401930407594513,0.054474082204808566,277.0044225707678,8.195128258119007,2.8295445412870386,14.859144680678732,34.407734896351954,34.0,2000.3262562719162,2099.9432373234526,2300.2772752696833,2399.931241182576,151.25608993115972,8.401797603551804,277.0044566101925,8.19512821431245
4.353273744067158,15.109272612723103,34.187902678185175,34.0,2000.2861579592382,2099.935116510188,2300.316806988296,2399.921438252925,80,161.0834354522375,8.379715856171053,0.0524973129095525,279.9669356069244,8.19122392920799,4.353273744067158,15.109272612723103,34.187902678185175,34.0,2000.3726292974018,2099.9351503518715,2300.316806988296,2399.921438252925,161.15206867756527,8.379564509439769,279.9669808478147,8.191223871605906
6.191717901453415,15.208371537201788,33.99207588349493,34.0,2000.321848785622,2099.9270258035913,2300.356318977981,2399.9116402555032,90,174.0564756554002,8.352264727934065,0.04990270486891996,281.14815400094966,8.18967731690515,6.191717901453415,15.208371537201788,33.99207588349493,34.0,2000.4185234931676,2099.9270688031056,2300.356318977981,2399.9116402555032,174.13931683444653,8.352095764322428,281.1482117203557,8.189677243725779
8.290532996921934,15.153512111126284,33.82604311047922,34.0,2000.35752210377,2099.918939474055,2300.3958112486043,2399.9018471878485,100,190.23292626217625,8.320502784752657,0.04666741474756475,280.4936214951929,8.190531189291645,8.290532996921934,15.153512111126284,33.82604311047922,34.0,2000.4638132264581,2099.91899262249,2300.3958112486043,2399.9018471878485,190.33234456109903,8.320317373456945,280.4936926766461,8.190531098832468
10.587678504792299,14.946315967373032,33.69471225243696,34.0,2000.393177922434,2099.9108575193873,2300.4352838100176,2399.8920590474954,110,209.67160728646743,8.285459951569159,0.04277967854270651,278.03356301891677,8.193761875022055,10.587678504792299,14.946315967373032,33.69471225243696,34.0,2000.5083694548398,2099.9109217426053,2300.4352838100176,2399.8920590474954,209.79015374693034,8.285259503386701,278.0336482997404,8.193761765679833
13.015251294332575,14.592907779650556,33.60196542151128,34.0,2000.4288162503617,2099.902779937408,2300.4747366720744,2399.882275831983,120,232.3247035152688,8.248229584402678,0.03824905929694624,273.8804565792824,8.19927981088199,13.015251294332575,14.592907779650556,33.60196542151128,34.0,2000.5520629665295,2099.902856083102,2300.4747366720744,2399.882275831983,232.46493699235992,8.248015741041048,273.88055622324725,8.199279681174168
